HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
64,95,48,2022-02-24T23:19:00.000Z,2022-02-24T23:49:00.000Z,362,216
72,92,51,2022-02-25T23:23:00.000Z,2022-02-25T23:53:00.000Z,391,211
69,75,55,2022-02-27T00:55:00.000Z,2022-02-27T01:29:00.000Z,314,203
82,106,71,2022-02-27T23:54:00.000Z,2022-02-28T01:13:00.000Z,331,102
68,108,50,2022-03-01T23:48:00.000Z,2022-03-02T00:28:00.000Z,401,167
70,87,55,2022-03-02T23:05:00.000Z,2022-03-03T00:29:00.000Z,400,174
69,85,59,2022-03-04T00:10:00.000Z,2022-03-04T01:15:00.000Z,269,230
68,105,56,2022-03-05T23:51:00.000Z,2022-03-06T01:14:00.000Z,333,222
98,126,55,2022-03-08T00:20:00.000Z,2022-03-08T01:07:00.000Z,250,180
85,106,63,2022-03-09T00:00:00.000Z,2022-03-09T01:02:00.000Z,369,84
68,105,55,2022-03-09T23:48:00.000Z,2022-03-10T00:52:00.000Z,526,136
84,93,71,2022-03-11T00:15:00.000Z,2022-03-11T01:22:00.000Z,399,148
76,106,68,2022-03-12T00:06:00.000Z,2022-03-12T01:21:00.000Z,360,188
65,100,48,2022-03-13T00:07:00.000Z,2022-03-13T01:27:00.000Z,224,44
72,84,56,2022-03-13T23:24:00.000Z,2022-03-14T00:15:00.000Z,369,121
77,106,64,2022-03-14T23:33:00.000Z,2022-03-15T00:30:00.000Z,375,67
98,130,69,2022-03-16T00:50:00.000Z,2022-03-16T04:28:00.000Z,308,48
80,104,63,2022-03-17T23:43:00.000Z,2022-03-18T00:50:00.000Z,385,175
70,75,55,2022-03-18T23:19:00.000Z,2022-03-19T00:11:00.000Z,416,143
81,94,74,2022-03-19T23:41:00.000Z,2022-03-20T00:25:00.000Z,272,177
79,104,71,2022-03-21T23:03:00.000Z,2022-03-22T00:26:00.000Z,341,133
80,104,74,2022-03-22T23:58:00.000Z,2022-03-23T02:06:00.000Z,408,107
69,100,50,2022-03-23T23:27:00.000Z,2022-03-24T00:10:00.000Z,423,117
83,106,74,2022-03-24T23:46:00.000Z,2022-03-25T00:38:00.000Z,419,193
71,101,53,2022-03-25T23:22:00.000Z,2022-03-26T00:20:00.000Z,358,173
79,79,79,2022-03-27T22:45:00.000+01:00,2022-03-28T00:55:00.000+01:00,312,144
78,139,60,2022-03-28T23:47:00.000+01:00,2022-03-29T01:07:00.000+01:00,345,121
54,57,48,2022-03-29T23:15:00.000+01:00,2022-03-30T00:38:00.000+01:00,473,161
81,107,59,2022-03-30T23:52:00.000+01:00,2022-03-31T01:21:00.000+01:00,372,140
78,93,70,2022-04-02T00:04:00.000+01:00,2022-04-02T03:31:00.000+01:00,437,96
85,108,76,2022-04-03T01:39:00.000+01:00,2022-04-03T02:33:00.000+01:00,308,143
65,101,55,2022-04-03T23:38:00.000+01:00,2022-04-04T00:22:00.000+01:00,285,192
81,104,53,2022-04-04T23:29:00.000+01:00,2022-04-05T00:47:00.000+01:00,281,207
